date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-08-06,Data10/OKDiario[129],1000,NA,24.7,30,15.3,8.9,2.9,3.5,4.8,2.3,1.7,1.2,0.7,0.4,0.6,0.4,0.3,0.1,5.3,NA
2021-08-06,ElectoPanel/Electomanía[130],1170,NA,25,28.3,16.4,10.1,3.5,3.3,3.7,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.3,NA
2021-08-04,Simple Lógica[131],1062,62.8,27.9,24.6,15.9,10.8,2.9,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA
2021-07-30,ElectoPanel/Electomanía[132],877,NA,25,28.4,16.5,10.1,3.4,3.3,3.5,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.4,NA
2021-07-29,SocioMétrica/El Español[133][134],1200,NA,24.7,26.4,16.1,10.3,5,3.1,4.5,2.3,1.4,0.9,0.8,0.4,0.6,0.3,0.4,0.1,1.7,NA
2021-07-23,Celeste-Tel/Onda Cero[135][136],1100,64.4,25.6,30,14.9,9.6,3.3,3.2,4.6,2.2,1.5,1.1,0.9,0.4,0.7,0.4,0.2,0.1,4.4,NA
2021-07-23,ElectoPanel/Electomanía[137],1601,NA,25.4,28.1,17,9.9,3,3.4,3.5,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,2.7,NA
2021-07-22,KeyData/Público[138],NA,64.3,25.2,28.3,15.7,9.8,3.3,3.6,3.9,2.2,1.6,1.2,1,0.5,NA,NA,NA,NA,3.1,NA
2021-07-22,GAD3/ABC[139][140],1030,73,25.1,31.1,12.4,10,3.5,3.3,3.3,2.4,1.4,1.1,1,0.5,0.6,0.4,0.2,0.1,6.0,NA
2021-07-19,Sigma Dos/Antena 3[141],NA,NA,25.1,28.8,14.1,10,2.8,3.4,4.8,2.1,1.8,NA,NA,NA,NA,NA,NA,NA,3.7,NA
2021-07-19,DYM/Henneo[142][143],1019,NA,24,28,16.7,10.5,4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA
2021-07-17,Data10/OKDiario[144],1000,NA,24.5,30.3,15.4,9,2.3,3.4,4.9,2.3,1.7,1.1,0.8,0.5,0.6,0.4,0.3,0.1,5.8,NA
2021-07-16,NC Report/La Razón[145][146],1000,64.2,25.9,29.8,15.3,9.2,2.7,3.3,3.7,2.4,1.6,1.2,NA,NA,NA,0.4,NA,NA,3.9,NA
2021-07-16,InvyMark/laSexta[147],NA,NA,26.2,28,17.7,9.3,1.4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
